#1 arg remaining, starting with 'cubic_BDP.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#14040 packets seen, 14040 TCP packets traced
#elapsed wallclock time: 0:00:00.159759, 87882 pkts/sec analyzed
#trace file elapsed time: 0:02:59.140761
#TCP connection info:
#1405 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

1,10.0.1.1,10.0.0.1,80,46114,1693943469.543896 , 1693943469.613762 ,              4,              5,              0,              0,              4,              5,              1,              3,              0,              0,              0,              0,              0,              0,            487,            138,              1,              1,            487,            138,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            0/1,            Y/Y,            N/Y,              0,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,            487,            138,            487,            138,            486,            137,          65535,             17,             17,             16,              0,              0,          16396,             16,            487,              0,              1,              0,            487,             NA,              0,             NA,              0,              0,              0,              0,          0.000,          0.000,           35.0,           34.7,              0,              0,           6970,           1975,              3,              2,            0.0,           34.2,            0.0,           34.3,            0.0,           34.2,            0.0,            0.0,            0.0,            0.0,              2,              1,            0.0,           34.3,            0.0,           34.3,            0.0,           34.3,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              1,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
2,10.0.0.1,10.0.1.1,46126,80,1693943469.590862 , 1693943469.695004 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           34.7,           35.1,              0,              0,           1325,           4676,              3,              3,           34.2,            0.0,           34.3,            0.0,           34.2,            0.0,            0.0,            0.0,           34.2,            0.0,              2,              2,           34.2,            0.0,           34.3,            0.0,           34.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
3,10.0.0.1,10.0.1.1,46136,80,1693943469.764175 , 1693943469.870030 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           35.2,           35.8,              0,              0,           1304,           4601,              3,              3,           34.8,            0.0,           35.1,            0.0,           34.9,            0.0,            0.2,            0.0,           34.8,            0.0,              2,              2,           34.8,            0.0,           35.1,            0.0,           34.9,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
4,10.0.0.1,10.0.1.1,46144,80,1693943469.827790 , 1693943469.933687 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           35.1,           35.8,              0,              0,           1303,           4599,              3,              3,           34.8,            0.0,           35.0,            0.0,           34.9,            0.0,            0.1,            0.0,           34.9,            0.0,              2,              2,           34.9,            0.0,           35.0,            0.0,           34.9,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
5,10.0.0.1,10.0.1.1,43718,80,1693943470.161290 , 1693943470.269523 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           36.4,           36.7,              0,              0,           1275,           4500,              3,              3,           35.0,            0.0,           35.9,            0.0,           35.6,            0.0,            0.5,            0.0,           35.0,            0.0,              2,              2,           35.0,            0.0,           35.9,            0.0,           35.5,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
6,10.0.0.1,10.0.1.1,43726,80,1693943470.284968 , 1693943470.393807 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           36.3,           36.8,              0,              0,           1268,           4474,              3,              3,           35.6,            0.0,           36.1,            0.0,           35.9,            0.0,            0.2,            0.0,           35.6,            0.0,              2,              2,           35.6,            0.0,           36.1,            0.0,           35.8,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
7,10.0.0.1,10.0.1.1,43734,80,1693943470.409043 , 1693943470.519090 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           36.8,           37.4,              0,              0,           1254,           4425,              3,              3,           35.8,            0.0,           36.6,            0.0,           36.3,            0.0,            0.4,            0.0,           35.8,            0.0,              2,              2,           35.8,            0.0,           36.6,            0.0,           36.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
8,10.0.0.1,10.0.1.1,43740,80,1693943470.432557 , 1693943470.543090 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           36.8,           37.4,              0,              0,           1248,           4406,              3,              3,           36.2,            0.0,           36.5,            0.0,           36.4,            0.0,            0.2,            0.0,           36.2,            0.0,              2,              2,           36.2,            0.0,           36.5,            0.0,           36.4,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
9,10.0.0.1,10.0.1.1,43756,80,1693943470.547110 , 1693943470.657601 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            138,            487,            138,            487,            137,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            138,            487,              1,              1,            138,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           36.8,           37.4,              0,              0,           1249,           4408,              3,              3,           36.2,            0.0,           36.6,            0.0,           36.4,            0.0,            0.2,            0.0,           36.2,            0.0,              2,              2,           36.2,            0.0,           36.6,            0.0,           36.4,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
